name,user,kit,phone,watch,fitbit,geneactiv,start,end,userid
Kassia,acceltrial@walkabilly.ca,1,2,13,8,7,2018-02-12 15:07:00,2018-02-12 16:11:00,100
Machel,acceltrial@walkabilly.ca,1,2,3,4,5,2018-07-19 14:14:00,2018-07-19 15:23:00,101
P01,acceltrial@walkabilly.ca,1,2,3,4,5,2018-07-20 09:43:00,2018-07-20 10:51:00,102
P02,acceltrial@walkabilly.ca,1,2,3,4,5,2018-07-20 13:52:00,2018-07-20 15:00:00,103
P03,acceltrial@walkabilly.ca,1,2,3,4,5,2018-07-25 13:46:00,2018-07-25 14:53:00,104
P04,acceltrial@walkabilly.ca,1,2,3,4,5,2018-09-06 16:27:00,2018-09-06 17:30:00,105
P05,acceltrial2019@walkabilly.ca,1,2,3,4,5,,,106
P06,acceltrial2019@walkabilly.ca,1,2,3,4,5,2018-12-13 13:13:00,2018-12-13 14:28:00,107
P07,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-01-07 10:30:00,2019-01-07 11:40:00,108
P08,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-26 10:59:00,2019-03-26 12:11:00,109
P09,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-02-27 11:23:00,2019-02-27 12:35:00,110
P10,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-01-16 10:56:00,2019-01-16 12:07:00,111
P11,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-02-04 11:13:00,2019-02-04 12:21:00,112
P12,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-02-06 10:29:00,2019-02-06 11:46:00,113
P13,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-02-25 10:18:00,2019-02-25 11:33:00,114
P14,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-02-26 09:59:00,2019-02-26 11:10:00,115
P15,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-02-27 09:15:00,2019-02-27 10:28:00,116
P16,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-02-28 12:20:00,2019-02-28 13:44:00,117
P17,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-01 09:46:00,2019-03-01 11:03:00,118
P18,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-01 15:25:00,2019-03-01 16:40:00,119
P19,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-02 11:09:00,2019-03-02 12:22:00,120
P20,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-06 10:16:00,2019-03-06 11:34:00,121
P21,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-06 18:12:00,2019-03-06 19:28:00,122
P22,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-08 14:41:00,2019-03-08 15:57:00,123
P23,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-07 15:16:00,2019-03-07 16:29:00,124
P24,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-08 09:12:00,2019-03-08 10:23:00,125
P25,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-08 11:08:00,2019-03-08 12:22:00,126
P26,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-09 10:50:00,2019-03-09 12:03:00,127
P27,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-12 12:31:00,2019-03-12 13:43:00,128
P28,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-10 09:30:00,2019-03-10 10:41:00,129
P29,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-10 10:52:00,2019-03-10 12:05:00,130
P30,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-11 08:53:00,2019-03-11 10:03:00,131
P31,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-12 08:43:00,2019-03-12 09:55:00,132
P32,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-13 10:13:00,2019-03-13 11:41:00,133
P33,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-04-18 11:13:00,2019-04-18 12:30:00,134
P34,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-14 08:45:00,2019-03-14 09:57:00,135
P35,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-14 13:57:00,2019-03-14 15:11:00,136
P36,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-14 15:22:00,2019-03-14 16:35:00,137
P37,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-15 14:12:00,2019-03-15 15:30:00,138
P38,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-04-17 14:38:00,2019-04-17 15:50:00,139
P39,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-05-07 10:43:00,2019-05-07 11:55:00,140
P40,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-04-25 14:14:00,2019-04-25 15:24:00,141
P41,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-20 14:28:00,2019-03-20 15:39:00,142
P42,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-25 14:25:00,2019-03-25 15:36:00,143
P43,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-28 09:24:00,2019-03-28 10:36:00,144
P44,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-28 12:22:00,2019-03-28 13:38:00,145
P45,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-29 14:33:00,2019-03-29 15:47:00,146
P46,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-04-02 08:21:00,2019-04-02 09:32:00,147
P47,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-04-04 12:19:00,2019-04-04 13:37:00,148
P48,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-04-05 07:50:00,2019-04-05 09:03:00,149
P49,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-04-09 16:10:00,2019-04-09 17:27:00,150
P50,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-04-12 13:46:00,2019-04-12 14:57:00,151
P51,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-04-06 12:51:00,2019-04-06 14:02:00,152
P52,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-04-12 15:51:00,2019-04-12 17:06:00,153
P53,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-05-07 14:59:00,2019-05-07 16:14:00,154
P54,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-05-02 14:29:00,2019-05-02 15:45:00,155
P55,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-05-09 09:08:00,2019-05-09 10:28:00,156
P56,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-05-09 10:50:00,2019-05-09 12:03:00,157
,,,,,,,,,
P58,acceltrial2019@walkabilly.ca,1,2,3,4,5,2019-03-16 10:08:00,2019-03-16 11:20:00,159
,,,,,,,,,
